Name,A/L_Subjects,Your_choise,Parent_Income,District,City,Degree_University,University_City
viveksubbarao,Maths,Engineering,180000,Matara,Matara,Electrical & Electronic Engineering - Sri Lanka Institute of Information Technology(SLIIT),
shreeharsha_t,Maths,Engineering,220000,Gampaha,Kelaniya,Civil Engineering - Sri Lanka Institute of Information Technology(SLIIT),
sharn,Maths,Engineering,200000,Colombo,Moratuwa,Civil Engineering - General Sir John Kotelawala Defence University,
niti0105,Maths,Computing,200000,Kalutara,Panadura,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
adithya27,Maths,Computing,200000,Colombo,Malabe,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
Skyfall2015,Commerce,Computing,150000,Gampaha,Nittambuwa,Computer Science - Sri Lanka Institute of Information Technology(SLIIT),
amandeepxsingh,Commerce,Computing,150000,Gampaha,Kadawatha,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
ee06b034,Commerce,Business,150000,Gampaha,Kiribathgoda,Quality Management - Sri Lanka Institute of Information Technology(SLIIT),
odie4u,Commerce,Business,170000,Kandy,Kandy,Management in Marketing - Horizon Campus,
isha15,Commerce,Business,170000,Kandy,Kandy,Management in Marketing - Horizon Campus,
Agastheesh,Commerce,Computing,170000,Gampaha,Negombo,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),
pathaksumedh,Technology,Computing,100000,Kandy,Kandy,Networking & Mobile Computing - Horizon Campus,
sp24091,Technology,Computing,260000,Matara,Matara,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
shreyarc,Technology,Engineering,150000,Matara,Matara,Civil Engineering - General Sir John Kotelawala Defence University,
manan.buddhadev,Technology,Computing,100000,Matara,Matara,Computer Science - Sri Lanka Institute of Information Technology(SLIIT),matara
akshayhegde8,Technology,Engineering,120000,Colombo,Homagama,Electrical & Electronic Engineering - NSBM Green University,
shre606,Technology,Engineering,100000,Matara,Matara,Electrical & Electronic Engineering - NSBM Green University,
naresh244,Science,Computing,125000,Gampaha,Kiribathgoda,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),
Ashwin1989,Science,Humanities & Science,150000,Gampaha,Kiribathgoda,Nursing - Sri Lanka Institute of Information Technology(SLIIT),
tanejaaditya,Science,Humanities & Science,90000,Gampaha,Kiribathgoda,Biotechnology - Sri Lanka Institute of Information Technology(SLIIT),
msumaithri,Science,Computing,175000,Galle,Galle,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
anirbanmondal,Science,Agriculture,200000,Hambantota,Hambantota,Agriculture Biology - Institute for Agro-Technology and Rural Sciences,
hrishikeshjoshi,Science,Agriculture,250000,Kandy,Katugastota,Agriculture Engineering - Postgraduate Institute of Agriculture University of Peradeniya,
anisdube,Arts,Business,200000,Gampaha,Nittambuwa,Management Information System - Sri Lanka Institute of Information Technology(SLIIT),
prathap,Science,Humanities & Science,150000,Matara,Matara,Psychology - Sri Lanka Institute of Information Technology(SLIIT),
misaspirant_fall13,Science,Humanities & Science,150000,Kandy,Peradeniya,Philosophy - National Institute of Fundamental Studies Sri Lanka,
arjun033,Science,Computing,150000,Gampaha,Negombo,Information Technology - Sri Lanka Institute of Information Technology(SLIIT),
gsrohit,Maths,Engineering,175000,Colombo,Thalawathugoda,Materials Engineering - Sri Lanka Institute of Information Technology(SLIIT),
rewse,Maths,Computing,175000,Colombo,Rathmalana,Data Science - General Sir John Kotelawala Defence University,
ranjithgangam1,Maths,Business,175000,Kalutara,Panadura,Logistics Management - General Sir John Kotelawala Defence University,
mykbdj,Technology,Computing,125000,Colombo,Kottawa,Computer Networks - NSBM Green University,
deepaknitdgp,Maths,Computing,125000,Colombo,Koswatta,Software Engineering - ESOFT Metro Campus,
bkk,Maths,Business,125000,Colombo,Homagama,Marketing management - NSBM Green University,
nishunishant,Maths,Engineering,100000,Colombo,Kottawa,Civil Engineering - Sri Lanka Institute of Information Technology(SLIIT),
bkr,Maths,Computing,100000,Colombo,Moratuwa,Computer Science - General Sir John Kotelawala Defence University,
aemcric,Maths,Engineering,100000,Colombo,Thalawathugoda,Surveying - Sri Lanka Institute of Information Technology(SLIIT),
Patrick87,Maths,Computing,100000,Colombo,Rathmalana,Computer Engineering - General Sir John Kotelawala Defence University,
vbhatia,Commerce,Business,100000,Colombo,Kottawa,HR Management - NSBM Green University,
Johan,Science,Computing,90000,Colombo,Moratuwa,Computer Science - General Sir John Kotelawala Defence University,
piyushr,Arts,Humanities & Science,200000,Colombo,Koswatta,Law - Sri Lanka Institute of Information Technology(SLIIT),
aspire.aparna,Arts,Designing,200000,Colombo,Homagama,Fashion Design - National Institute of Business Management,
GeCko90,Arts,Computing,200000,Gampaha,Negombo,Information Technology - Sri Lanka Institute of Information Technology(SLIIT),
Hari_V,Arts,Designing,100000,Matara,Matara,Fashion Design - National Institute of Business Management,
rkkr.2100,Arts,Hospitality & Culinary,95000,Colombo,Kottawa,Commercial Cookery - Sri Lanka Institute of Information Technology(SLIIT),
PIKACHU23,Technology,Computing,125000,Colombo,Battaramulla,Software Engineering - ESOFT Metro Campus,
prerana.prakash,Commerce,Computing,125000,Galle,Hikkaduwa,Computer Science - General Sir John Kotelawala Defence University,
vsohail,Commerce,Business,125000,Colombo,Koswatta,Accounting & Finance - Asia Pacific Institute of Information Technology Sri Lanka,
gandhi_chintu,Commerce,Business,125000,Kandy,Peradeniya,Management in Marketing - Horizon Campus,
AnandR23,Commerce,Business,125000,Gampaha,Negombo,Human Capital Management - Sri Lanka Institute of Information Technology(SLIIT),
vidhyaprakash0703,Maths,Engineering,125000,Kandy,Kandy,Civil Engineering - Sri Lanka Institute of Information Technology(SLIIT),
hikaruyh88,Maths,Architecture,150000,Colombo,Moratuwa,Architects - General Sir John Kotelawala Defence University,
venkatesh_moktali,Maths,Engineering,150000,Kalutara,Panadura,Civil Engineering - General Sir John Kotelawala Defence University,
miiithun1992,Maths,Computing,150000,Colombo,Malabe,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
Alphonsa,Maths,Architecture,150000,Gampaha,Nittambuwa,Architects - Sri Lanka Institute of Architects,
rajkn,Commerce,Computing,150000,Gampaha,Kadawatha,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
prajakta_b,Maths,Engineering,150000,Gampaha,Kiribathgoda,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
manojchandran,Arts,Designing,150000,Kandy,Kandy,Fashion Design - National Institute of Business Management,
gsmforgre,Technology,Computing,150000,Gampaha,Negombo,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
Skamesh,Technology,Engineering,150000,Kandy,Kandy,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
digineo,Commerce,Business,150000,Kandy,Kandy,Management in Marketing - Horizon Campus,
niranjansa,Technology,Computing,175000,Matara,Matara,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),matara
jay sanghvi,Arts,Designing,175000,Matara,Matara,Fashion Design - National Institute of Business Management,
dream_fall13,Science,Humanities & Science,175000,Colombo,Homagama,English - Sri Lanka Institute of Information Technology(SLIIT),
swap58,Maths,Architecture,300000,Matara,Dikwella,Architects - Sri Lanka Institute of Architects,
abhik1493,Science,Computing,250000,Matara,Matara,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),matara
mitesh2801,Science,Agriculture,250000,Gampaha,Kiribathgoda,Agriculture Economics - Postgraduate Institute of Agriculture University of Peradeniya,
tushar54983,Science,Computing,100000,Gampaha,Kiribathgoda,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),
kalaranjaniv,Science,Agriculture,100000,Gampaha,Kiribathgoda,Architects - Sri Lanka Institute of Architects,
emkishan,Maths,Architecture,100000,Galle,Galle,Architects - Sri Lanka Institute of Architects,
ArchieRockstar,Maths,Engineering,100000,Hambantota,Hambantota,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
bufferDBMS,Maths,Computing,100000,Colombo,Kottawa,Computer Networks - NSBM Green University,
sodium,Maths,Engineering,175000,Gampaha,Negombo,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
akshitk,Maths,Architecture,175000,Matara,Matara,Architects - Sri Lanka Institute of Architects,
nikhiltilak,Maths,Engineering,90000,Colombo,Koswatta,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
ralph_1111,Maths,Engineering,120000,Colombo,Kottawa,Civil Engineering - General Sir John Kotelawala Defence University,
calmran,Arts,Humanities & Science,120000,Galle,Galle,Law - Sri Lanka Institute of Information Technology(SLIIT),
lavalake,Arts,Designing,120000,Colombo,Koswatta,Fashion Design - National Institute of Business Management,
chrlpally,Arts,Designing,140000,Colombo,Thalawathugoda,Professional Design - National Institute of Business Management,
archileog,Arts,Computing,150000,Colombo,Rathmalana,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
sikkatrojan,Arts,Computing,150000,Kalutara,Panadura,Computer Science - General Sir John Kotelawala Defence University,
vinay hegde manutd,Science,Business,150000,Colombo,Kottawa,HR Management - NSBM Green University,
Deenash,Maths,Business,180000,Colombo,Koswatta,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),
vikas1590,Technology,Computing,180000,Colombo,Homagama,Computer Networks - NSBM Green University,
RutwikV,Commerce,Computing,180000,Colombo,Kottawa,Computer Science - General Sir John Kotelawala Defence University,
sona01,Commerce,Business,180000,Colombo,Moratuwa,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),
ramu86,Arts,Designing,220000,Colombo,Thalawathugoda,Fashion Design - National Institute of Business Management,
styagi,Commerce,Computing,200000,Colombo,Rathmalana,Computer Science - General Sir John Kotelawala Defence University,
akshay629,Arts,Hospitality & Culinary,200000,Colombo,Kottawa,Commercial Cookery - Sri Lanka Institute of Information Technology(SLIIT),
odc29,Commerce,Business,200000,Colombo,Moratuwa,Logistics Management - General Sir John Kotelawala Defence University,
Saurabh Unercat,Maths,Architecture,150000,Colombo,Koswatta,Architects - Sri Lanka Institute of Architects,
dhirajvshetty,Commerce,Business,150000,Colombo,Homagama,HR Management - NSBM Green University,
Uchiha,Maths,Computing,150000,Galle,Hikkaduwa,Data Science - Sri Lanka Institute of Information Technology(SLIIT),
tushar89,Maths,Computing,170000,Colombo,Malabe,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),
DragonMaster,Commerce,Business,170000,Matara,Matara,HR Management - NSBM Green University,
tushars92,Science,Computing,170000,Colombo,Rathmalana,Computer Science - General Sir John Kotelawala Defence University,
sirimuvva,Maths,Engineering,100000,Colombo,Kaduwela,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
harshav4,Commerce,Business,260000,Galle,Galle,HR Management - NSBM Green University,
TheDareDevil10,Science,Humanities & Science,150000,Colombo,Rathmalana,English - Sri Lanka Institute of Information Technology(SLIIT),
shanmukh28,Commerce,Business,100000,Colombo,Wellawatta,HND - IDM University,
biki323,Maths,Computing,100000,Colombo,Moratuwa,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
GamingX,Commerce,Designing,125000,Colombo,Moratuwa,Fashion Design - National Institute of Business Management,
ankitvasa,Science,Computing,150000,Colombo,Moratuwa,Computer Science - General Sir John Kotelawala Defence University,
akashkapoor567,Maths,Engineering,90000,Kalutara,Panadura,Civil Engineering - General Sir John Kotelawala Defence University,
kkishoreyadav_iiit,Commerce,Computing,175000,Colombo,Malabe,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
Parchuri0791,Maths,Computing,200000,Gampaha,Nittambuwa,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),
arvishaans,Commerce,Computing,250000,Gampaha,Kadawatha,Data Science - Sri Lanka Institute of Information Technology(SLIIT),
av260987,Science,Agriculture,200000,Gampaha,Kiribathgoda,Bio Statistics - Postgraduate Institute of Agriculture University of Peradeniya,
pg0101,Science,Humanities & Science,150000,Kandy,Kandy,Biological Science - Horizon Campus,kandy
gauravlamba33,Science,Computing,150000,Gampaha,Negombo,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
maddy93,Science,Computing,150000,Matara,Dikwella,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),matara
teja765,Maths,Computing,175000,Kurunagala,Polgasowita,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
surajf,Arts,Designing,175000,Matara,Matara,Fashion Design - National Institute of Business Management,
anishparikh,Maths,Computing,175000,Matara,Matara,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
ctl123,Science,Computing,125000,Gampaha,Negombo,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),
sadun,Arts,Humanities & Science,125000,Matara,Matara,Law - Sri Lanka Institute of Information Technology(SLIIT),
saqib.shah06,Science,Computing,125000,Matara,Matara,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),matara
iPwNuDwN,Maths,Engineering,100000,Gampaha,Kiribathgoda,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
aniketD,Science,Computing,125000,Gampaha,Kiribathgoda,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),
sayanomatic42,Science,Humanities & Science,150000,Gampaha,Kiribathgoda,Law - Sri Lanka Institute of Information Technology(SLIIT),
chetna.aggarwal,Maths,Computing,90000,Galle,Galle,Computer Science - Sri Lanka Institute of Information Technology(SLIIT),
Myrrah082,Arts,Business,175000,Hambantota,Hambantota,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),
mahathivaduguru,Science,Computing,200000,Hambantota,Hambantota,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
Shrawan,Maths,Architecture,250000,Hambantota,Hambantota,Architects - General Sir John Kotelawala Defence University,
Ramya Krishnan,Arts,Music & Drama,200000,Colombo,Malabe,Music - university of visual and performing arts,
neerajd,Maths,Computing,150000,Kalutara,Panadura,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
hopeashu,Science,Agriculture,150000,Colombo,Koswatta,Bio Statistics - Postgraduate Institute of Agriculture University of Peradeniya,
dobby,Maths,Computing,150000,Colombo,Kottawa,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
sanket2711,Maths,Architecture,175000,Kalutara,Panadura,Architects - General Sir John Kotelawala Defence University,
v.sumanth,Maths,Computing,175000,Colombo,Rathmalana,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
saikrishna1991,Maths,Architecture,175000,Colombo,Kottawa,Architects - Sri Lanka Institute of Architects,
Aardy,Science,Computing,125000,Colombo,Kottawa,Computer Networks - NSBM Green University,
ravi1059,Science,Humanities & Science,125000,Colombo,Thalawathugoda,Law - Sri Lanka Institute of Information Technology(SLIIT),
maheyche,Science,Computing,125000,Colombo,Rathmalana,Computer Science - General Sir John Kotelawala Defence University,
Jedi88,Science,Computing,150000,Kalutara,Panadura,Computer Science - General Sir John Kotelawala Defence University,
vickarul,Science,Computing,175000,Colombo,Kottawa,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
supreethms1809,Science,Agriculture,175000,Colombo,Koswatta,Bio Statistics - Postgraduate Institute of Agriculture University of Peradeniya,
nicks_tushar,Science,Humanities & Science,175000,Colombo,Homagama,Physical Science - Sri Lanka Institute of Information Technology(SLIIT),
ashutver87,Science,Computing,300000,Colombo,Kottawa,Computer Networks - NSBM Green University,
sbr,Arts,Computing,250000,Colombo,Moratuwa,Software Engineering - Informatics Institute of Technology Sri Lanka(IIT),
atantri,Arts,Humanities & Science,250000,Colombo,Thalawathugoda,Law - Sri Lanka Institute of Information Technology(SLIIT),
miss_oz,Arts,Computing,100000,Colombo,Rathmalana,Computer Science - General Sir John Kotelawala Defence University,
Desecrator,Arts,Designing,100000,Colombo,Kottawa,Fashion Design - National Institute of Business Management,
tcsjann,Arts,Humanities & Science,100000,Colombo,Moratuwa,LLB - General Sir John Kotelawala Defence University,
Debbie Marie,Arts,Computing,100000,Colombo,Koswatta,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
aravinddoodala,Arts,Designing,100000,Colombo,Homagama,Fashion Design - National Institute of Business Management,
hari2hari.gre,Commerce,Designing,175000,Colombo,Rathmalana,Fashion Design - National Institute of Business Management,
muthu171191,Commerce,Business,175000,Colombo,Homagama,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),
utkarsh3010,Science,Humanities & Science,90000,Colombo,Dehiwala,Physical Science - Sri Lanka Institute of Information Technology(SLIIT),
keviv0811,Arts,Business,120000,Galle,Hikkaduwa,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),
deegup,Commerce,Business,120000,Gampaha,Negombo,Marketing Management - Sri Lanka Institute of Information Technology(SLIIT),
amala.thampi,Arts,Business,120000,Galle,Galle,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),
prashanth.thinker,Technology,Computing,140000,Matara,Dikwella,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),matara
Akhil543,Arts,Hospitality & Culinary,150000,Galle,Galle,Event Management - Sri Lanka Institute of Information Technology(SLIIT),
Sjad,Technology,Computing,150000,Matara,Matara,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),matara
Anubhav Sharma,Science,Computing,150000,Colombo,Avissawella,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),
gap8920003,Technology,Computing,180000,Gampaha,Kelaniya,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
abhishek_pati,Technology,Engineering,180000,Matara,Matara,Civil Engineering - General Sir John Kotelawala Defence University,
TheMD11,Commerce,Business,180000,Gampaha,Wattala,HR Management - NSBM Green University,
chandru.m16,Maths,Computing,130000,Colombo,Avissawella,Data Science - Sri Lanka Institute of Information Technology(SLIIT),
treadstone90,Science,Humanities & Science,150000,Gampaha,Negombo,Physical Science - Sri Lanka Institute of Information Technology(SLIIT),
khushboo_11,Maths,Computing,150000,Matara,Matara,Computer Science - Sri Lanka Institute of Information Technology(SLIIT),matara
varun2488,Science,Agriculture,175000,Gampaha,Kelaniya,Bio Statistics - Postgraduate Institute of Agriculture University of Peradeniya,
chetan.89,Arts,Hospitality & Culinary,175000,Colombo,Moratuwa,Event Management - Sri Lanka Institute of Information Technology(SLIIT),
karthickcs87,Maths,Architecture,175000,Kalutara,Panadura,Architects - Sri Lanka Institute of Architects,
Mayur Kulkarni,Arts,Business,300000,Colombo,Malabe,Marketing Management - Sri Lanka Institute of Information Technology(SLIIT),
radeon,Science,Humanities & Science,250000,Gampaha,Nittambuwa,Biotechnology - Sri Lanka Institute of Information Technology(SLIIT),
vinaykumarhs2020,Arts,Music & Drama,250000,Gampaha,Kadawatha,Music - university of visual and performing arts,
ranjeshgre,Maths,Engineering,100000,Gampaha,Kiribathgoda,Civil Engineering - Sri Lanka Institute of Information Technology(SLIIT),
pratikpingle,Science,Agriculture,100000,Kandy,Kandy,Food Science & Technology - Postgraduate Institute of Agriculture University of Peradeniya,
mgowtam,Arts,Humanities & Science,100000,Kandy,Kandy,Law - Sri Lanka Institute of Information Technology(SLIIT),
Bharadwaj Akella,Maths,Computing,100000,Gampaha,Kiribathgoda,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
ddr20303,Science,Agriculture,100000,Kandy,Kandy,Bio Statistics - Postgraduate Institute of Agriculture University of Peradeniya,
oncloud9,Arts,Computing,175000,Matara,Matara,Computer Science - Sri Lanka Institute of Information Technology(SLIIT),matara
bhegde,Maths,Computing,175000,Matara,Matara,Cyber Security - Sri Lanka Institute of Information Technology(SLIIT),matara
Harpinder,Arts,Business,90000,Matara,Matara,Marketing Management - Sri Lanka Institute of Information Technology(SLIIT),
barbarian,Maths,Engineering,120000,Gampaha,Negombo,Mechanical Engineering - Sri Lanka Institute of Information Technology(SLIIT),
sakethegde,Arts,Business,120000,Matara,Matara,Marketing Management - Sri Lanka Institute of Information Technology(SLIIT),
raldonfernandes,Science,Computing,120000,Gampaha,Kiribathgoda,Software Engineering - Sri Lanka Institute of Information Technology(SLIIT),
boringuy,Arts,Business,140000,Gampaha,Kiribathgoda,Accounting & Finance - Sri Lanka Institute of Information Technology(SLIIT),
